-0.475	0.475	2.5	2.5
-0.465	0.465	3.5	2.5
-0.455	0.455	4.5	2.5
-0.445	0.445	5.5	2.5
-0.435	0.435	6.5	2.5
-0.425	0.425	7.5	2.5
-0.415	0.415	8.5	2.5
-0.405	0.405	9.5	2.5
-0.395	0.395	10.5	2.5
-0.385	0.385	11.5	2.5
-0.375	0.375	12.5	2.5
-0.365	0.365	13.5	2.5
-0.355	0.355	14.5	2.5
-0.345	0.345	15.5	2.5
-0.335	0.335	16.5	2.5
-0.325	0.325	17.5	2.5
-0.315	0.315	18.5	2.5
-0.305	0.305	19.5	2.5
-0.295	0.295	20.5	2.5
-0.285	0.285	21.5	2.5
-0.275	0.275	22.5	2.5
-0.265	0.265	23.5	2.5
-0.255	0.255	24.5	2.5
-0.245	0.245	25.5	2.5
-0.235	0.235	26.5	2.5
-0.225	0.225	27.5	2.5
-0.215	0.215	28.5	2.5
-0.205	0.205	29.5	2.5
-0.195	0.195	30.5	2.5
-0.185	0.185	31.5	2.5
-0.175	0.175	32.5	2.5
-0.165	0.165	33.5	2.5
-0.155	0.155	34.5	2.5
-0.145	0.145	35.5	2.5
-0.135	0.135	36.5	2.5
-0.125	0.125	37.5	2.5
-0.115	0.115	38.5	2.5
-0.105	0.105	39.5	2.5
-0.095	0.095	40.5	2.5
-0.085	0.085	41.5	2.5
-0.075	0.075	42.5	2.5
-0.065	0.065	43.5	2.5
-0.055	0.055	44.5	2.5
-0.045	0.045	45.5	2.5
-0.035	0.035	46.5	2.5
-0.025	0.025	47.5	2.5
-0.015	0.015	48.5	2.5
-0.005	0.005	49.5	2.5
0.005	0.005	50.5	2.5
0.015	0.015	51.5	2.5
0.025	0.025	52.5	2.5
0.035	0.035	53.5	2.5
0.045	0.045	54.5	2.5
0.055	0.055	55.5	2.5
0.065	0.065	56.5	2.5
0.075	0.075	57.5	2.5
0.085	0.085	58.5	2.5
0.095	0.095	59.5	2.5
0.105	0.105	60.5	2.5
0.115	0.115	61.5	2.5
0.125	0.125	62.5	2.5
0.135	0.135	63.5	2.5
0.145	0.145	64.5	2.5
0.155	0.155	65.5	2.5
0.165	0.165	66.5	2.5
0.175	0.175	67.5	2.5
0.185	0.185	68.5	2.5
0.195	0.195	69.5	2.5
0.205	0.205	70.5	2.5
0.215	0.215	71.5	2.5
0.225	0.225	72.5	2.5
0.235	0.235	73.5	2.5
0.245	0.245	74.5	2.5
0.255	0.255	75.5	2.5
0.265	0.265	76.5	2.5
0.275	0.275	77.5	2.5
0.285	0.285	78.5	2.5
0.295	0.295	79.5	2.5
0.305	0.305	80.5	2.5
0.315	0.315	81.5	2.5
0.325	0.325	82.5	2.5
0.335	0.335	83.5	2.5
0.345	0.345	84.5	2.5
0.355	0.355	85.5	2.5
0.365	0.365	86.5	2.5
0.375	0.375	87.5	2.5
0.385	0.385	88.5	2.5
0.395	0.395	89.5	2.5
0.405	0.405	90.5	2.5
0.415	0.415	91.5	2.5
0.425	0.425	92.5	2.5
0.435	0.435	93.5	2.5
0.445	0.445	94.5	2.5
0.455	0.455	95.5	2.5
0.465	0.465	96.5	2.5
0.475	0.475	97.5	2.5
0.485	0.485	98.5	2.5
0.495	0.495	99.5	2.5
0.505	0.505	100.5	2.5
0.515	0.515	101.5	2.5
0.525	0.525	102.5	2.5
0.535	0.535	103.5	2.5
0.545	0.545	104.5	2.5
0.555	0.555	105.5	2.5
0.565	0.565	106.5	2.5
0.575	0.575	107.5	2.5
0.585	0.585	108.5	2.5
0.595	0.595	109.5	2.5
0.605	0.605	110.5	2.5
0.615	0.615	111.5	2.5
0.625	0.625	112.5	2.5
0.635	0.635	113.5	2.5
0.645	0.645	114.5	2.5
0.655	0.655	115.5	2.5
0.665	0.665	116.5	2.5
0.675	0.675	117.5	2.5
0.685	0.685	118.5	2.5
0.695	0.695	119.5	2.5
0.705	0.705	120.5	2.5
0.715	0.715	121.5	2.5
0.725	0.725	122.5	2.5
0.735	0.735	123.5	2.5
0.745	0.745	124.5	2.5
0.755	0.755	125.5	2.5
0.765	0.765	126.5	2.5
0.775	0.775	127.5	2.5
0.785	0.785	128.5	2.5
0.795	0.795	129.5	2.5
0.805	0.805	130.5	2.5
0.815	0.815	131.5	2.5
0.825	0.825	132.5	2.5
0.835	0.835	133.5	2.5
0.845	0.845	134.5	2.5
0.855	0.855	135.5	2.5
0.865	0.865	136.5	2.5
0.875	0.875	137.5	2.5
0.885	0.885	138.5	2.5
0.895	0.895	139.5	2.5
0.905	0.905	140.5	2.5
0.915	0.915	141.5	2.5
0.925	0.925	142.5	2.5
0.935	0.935	143.5	2.5
0.945	0.945	144.5	2.5
0.955	0.955	145.5	2.5
0.965	0.965	146.5	2.5
0.975	0.975	147.5	2.5
0.985	0.985	148.5	2.5
0.995	0.995	149.5	2.5
1.005	0.0049999999999999	150.5	2.5
1.015	0.015	151.5	2.5
1.025	0.025	152.5	2.5
1.035	0.035	153.5	2.5
1.045	0.045	154.5	2.5
1.055	0.055	155.5	2.5
1.065	0.065	156.5	2.5
1.075	0.075	157.5	2.5
1.085	0.085	158.5	2.5
1.095	0.095	159.5	2.5
1.105	0.105	160.5	2.5
1.115	0.115	161.5	2.5
1.125	0.125	162.5	2.5
1.135	0.135	163.5	2.5
1.145	0.145	164.5	2.5
1.155	0.155	165.5	2.5
1.165	0.165	166.5	2.5
1.175	0.175	167.5	2.5
1.185	0.185	168.5	2.5
1.195	0.195	169.5	2.5
1.205	0.205	170.5	2.5
1.215	0.215	171.5	2.5
1.225	0.225	172.5	2.5
1.235	0.235	173.5	2.5
1.245	0.245	174.5	2.5
1.255	0.255	175.5	2.5
1.265	0.265	176.5	2.5
1.275	0.275	177.5	2.5
1.285	0.285	178.5	2.5
1.295	0.295	179.5	2.5
1.305	0.305	180.5	2.5
1.315	0.315	181.5	2.5
1.325	0.325	182.5	2.5
1.335	0.335	183.5	2.5
1.345	0.345	184.5	2.5
1.355	0.355	185.5	2.5
1.365	0.365	186.5	2.5
1.375	0.375	187.5	2.5
